Classification,club_varsity,conference,school_name,Fall 2014,Spring 2015,Fall 2015,Spring 2016,Fall 2016,Spring 2017,Fall 2017,Spring 2018,Fall 2018,Spring 2019,Fall 2019,Spring 2020,Fall 2020,Spring 2021,Fall 2021,Spring 2022,Fall 2022,Spring 2023,Fall 2023
CR,Club,PCCSC,University of California at Los Angeles,59,59,30,28,49,67,40,47,46,46,59,63,0,0,36,27,39,43,37
R,Club,PCCSC,University of California at San Diego,58,59,17,23,50,75,53,56,61,63,60,60,1,13,37,38,52,56,46
CR,Club - Coached,PCCSC,University of California at Santa Barbara,64,64,34,34,38,56,44,46,39,41,43,43,0,13,32,28,26,31,23
R,Club,PCCSC,University of California at Santa Cruz,14,13,11,12,17,24,20,21,23,25,26,26,0,0,30,32,33,38,27
CR,Varsity,PCCSC,University of Hawaii,29,34,18,24,18,40,24,27,29,31,36,37,0,14,32,29,27,28,22
F,Club,PCCSC,University of Oregon,34,34,8,10,7,19,10,13,10,11,11,11,0,9,7,3,10,15,16
CR,Club - Coached,PCCSC,University of Southern California,25,29,13,13,20,23,25,28,29,28,21,21,0,0,8,9,14,14,14
R,Club,PCCSC,University of Victoria,30,30,18,20,21,32,28,28,35,35,37,36,0,0,2,0,20,24,9
R,Club,PCCSC,University of Washington,21,23,16,14,24,30,23,27,24,25,29,31,0,10,41,36,38,47,47
R,Club,PCCSC,Western Washington University,58,56,19,14,38,42,25,29,35,43,51,52,0,0,30,24,36,38,29
R,Club,PCCSC,,,,,,,,,,,,,,,,,,,,
F,Club,SAISA,Auburn University,30,34,11,10,10,24,13,20,27,34,31,36,0,0,5,12,8,10,
R,Club,SAISA,Clemson University,44,45,15,11,20,50,31,32,33,36,33,37,0,9,20,29,36,48,25
CR,Varsity,SAISA,College of Charleston,55,67,41,29,45,74,55,58,65,70,70,71,1,29,52,55,66,70,60
F,Club,SAISA,College of Coastal Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,7,12
F,Club,SAISA,Davidson College,18,15,9,3,5,38,2,4,16,16,19,19,0,0,1,0,0,0,
R,Club,SAISA,Duke University,13,15,17,12,19,32,8,8,14,15,17,22,0,0,14,2,22,24,9
F,Club,SAISA,East Carolina University,7,6,0,0,2,2,0,0,0,1,4,4,0,0,0,0,0,3,
CR,Varsity,SAISA,Eckerd College,37,37,26,27,29,36,33,37,35,35,33,33,1,0,23,16,8,14,12
R,Club,SAISA,Embry-Riddle University,9,9,6,0,0,13,6,7,6,12,14,16,0,10,19,34,39,47,51
F,Club,SAISA,Florida Gulf Coast University,22,22,0,0,8,10,0,0,0,0,0,0,0,10,13,13,6,6,
R,Club,SAISA,Florida Institute of Technology,5,1,0,0,0,0,0,0,1,1,1,10,0,7,6,11,15,16,14
R,Club,SAISA,Florida State University,12,14,8,12,19,27,17,18,18,20,20,22,0,4,14,11,9,16,21
,,SAISA,Furman University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
R,Club,SAISA,Georgia Institute of Technology,27,31,17,17,23,32,21,23,30,39,37,41,0,2,18,21,17,19,4
F,Club,SAISA,Georgia Southern University,0,0,0,0,0,0,0,0,0,0,8,11,0,0,5,0,0,0,
CR,Varsity,SAISA,Jacksonville University,38,40,17,15,26,26,28,32,39,39,44,44,0,35,40,28,31,38,34
F,Club,SAISA,New College of Florida,39,39,14,4,17,24,0,0,4,8,8,9,0,0,0,0,2,2,
CR,Club - Coached,SAISA,North Carolina State University,33,38,24,19,26,39,40,49,45,51,54,56,0,18,28,28,27,28,32
F,Club,SAISA,Palm Beach Atlantic University,0,0,0,0,0,0,0,0,0,8,14,14,0,3,14,8,8,10,10
R,Varsity,SAISA,Rollins College,13,16,4,10,16,17,18,19,26,31,36,39,0,7,18,20,22,22,16
,,SAISA,Sewanee University of the South,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
R,Club - Coached,SAISA,The Citadel,17,15,5,0,8,12,0,0,0,0,0,0,2,9,13,13,22,26,17
F,Club,SAISA,University of Central Florida,0,0,0,0,0,0,0,0,0,5,9,14,0,0,0,1,14,15,5
R,Club,SAISA,University of Florida,40,42,16,13,29,44,23,24,31,34,34,34,0,0,37,9,0,12,16
R,Club,SAISA,University of Georgia,24,27,14,12,21,31,9,22,32,36,30,31,1,2,17,23,15,20,8
CR,Club,SAISA,University of Miami,28,30,19,17,20,35,18,20,27,29,31,33,0,9,32,32,27,28,26
R,Club,SAISA,University of North Carolina,18,24,0,0,3,9,7,9,11,11,16,16,0,4,9,9,16,22,22
R,Club,SAISA,University of North Carolina at Wilmington,16,16,12,10,10,20,13,13,15,17,20,23,0,1,24,15,38,42,33
R,Club,SAISA,University of South Carolina,6,15,15,11,16,40,12,12,15,26,21,21,0,0,10,19,9,19,12
CR,Varsity,SAISA,University of South Florida,54,55,37,23,46,62,39,44,43,45,48,51,0,12,29,32,32,37,36
F,Club,SAISA,University of Tennessee,16,19,5,6,7,16,9,9,13,14,12,12,0,0,11,8,12,14,8
F,Club,SAISA,Vanderbilt University,21,21,7,0,1,15,20,20,21,23,18,18,0,0,8,6,13,14,5
F,Club,SAISA,Wake Forest University,0,0,0,0,0,4,4,4,5,11,20,20,0,0,10,13,26,28,6
F,Club,SEISA,Baylor University,7,11,0,0,0,0,0,0,0,0,15,14,0,0,16,0,17,17,
F,Club,SEISA,Case Western Reserve University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
F,Club,SEISA,Loyola University New Orleans,7,20,0,0,1,16,15,16,20,22,27,27,5,10,15,12,6,11,
F,Club,SEISA,Rice University,18,18,7,13,16,23,2,5,4,4,6,9,0,0,0,0,0,6,8
F,Club,SEISA,Texas A&M University,38,42,17,18,29,35,30,41,37,41,45,46,0,0,20,17,12,17,17
R,Club - Coached,SEISA,Texas A&M University at Corpus Christi,1,4,4,5,13,16,4,8,9,12,14,16,0,0,8,12,10,12,8
R,Club - Coached,SEISA,Texas A&M University at Galveston,35,40,22,23,48,67,30,40,49,55,49,45,3,8,18,17,18,24,15
F,Club,SEISA,Texas Christian University,0,0,0,0,0,0,0,0,0,2,1,1,0,0,5,3,6,6,2
CR,Varsity,SEISA,Tulane University,39,38,24,17,40,46,46,48,64,66,47,46,0,22,27,25,33,34,37
F,Club,SEISA,University of Central Oklahoma,14,14,6,6,10,14,7,8,6,7,9,8,0,0,6,5,13,13,16
F,Club,SEISA,University of Kansas,4,7,0,0,7,4,1,1,0,0,0,0,0,0,16,8,14,14,8
R,Club,SEISA,University of North Texas,17,14,0,0,0,14,14,16,16,23,21,22,0,0,10,9,6,10,5
F,Club,SEISA,University of Oklahoma,21,21,1,0,0,0,0,,1,,,,,,,,,6,14
F,Club,SEISA,University of South Alabama,7,7,0,0,2,2,0,0,0,0,0,0,0,0,5,1,0,0,1
R,Club,SEISA,University of Texas,34,34,22,12,31,51,24,25,28,36,46,46,0,13,15,14,15,16,16
